id,label,model_label,confidence,prob_real,prob_fake
real_images/891112_1967-07-22_2011_face1.jpg,0,0,0.5329,0.5329,0.4671
real_images/2230512_1949-09-22_2007_face1.jpg,0,0,0.9149,0.9149,0.0851
real_images/12788312_1990-05-25_2011_face1.jpg,0,0,0.9124,0.9124,0.0876
real_images/27327212_1986-10-25_2010_face1.jpg,0,0,0.9364,0.9364,0.0636
real_images/12271112_1966-06-30_2013_face1.jpg,0,0,0.9739,0.9739,0.0261
real_images/24356812_1985-12-24_2010_face1.jpg,0,0,0.9825,0.9825,0.0175
real_images/36604912_1985-12-24_2013_face1.jpg,0,0,0.95,0.95,0.05
real_images/25686612_1988-02-25_2014_face1.jpg,0,0,0.9761,0.9761,0.0239
real_images/17515512_1978-03-06_2008_face1.jpg,0,0,0.9684,0.9684,0.0316
real_images/26200612_1948-08-18_2009_face1.jpg,0,0,0.9254,0.9254,0.0746
real_images/24752112_1989-07-22_2013_face1.jpg,0,0,0.9895,0.9895,0.0105
real_images/9017212_1987-02-14_2014_face1.jpg,0,0,0.9568,0.9568,0.0432
real_images/25947212_1986-11-04_2010_face1.jpg,0,0,0.9756,0.9756,0.0244
real_images/3729912_1983-04-01_2013_face1.jpg,0,0,0.9733,0.9733,0.0267
real_images/36812412_1917-05-21_1981_face1.jpg,0,1,0.9057,0.0943,0.9057
real_images/20312_1941-01-05_2008_face1.jpg,0,0,0.9017,0.9017,0.0983
real_images/7896912_1981-08-28_2011_face1.jpg,0,1,0.723,0.277,0.723
real_images/871512_1926-04-03_1967_face1.jpg,0,0,0.9897,0.9897,0.0103
real_images/833512_1961-01-01_2011_face1.jpg,0,0,0.9459,0.9459,0.0541
real_images/4634812_1965-10-02_2004_face1.jpg,0,0,0.8735,0.8735,0.1265
real_images/4603012_1985-04-18_2011_face1.jpg,0,0,0.9801,0.9801,0.0199
real_images/9427912_1969-10-23_2006_face1.jpg,0,0,0.9427,0.9427,0.0573
real_images/14975812_1990-01-05_2010_face1.jpg,0,0,0.9851,0.9851,0.0149
real_images/15767612_1961-02-08_2009_face1.jpg,0,0,0.8703,0.8703,0.1297
real_images/2866712_1978-12-04_2007_face1.jpg,0,0,0.8277,0.8277,0.1723
real_images/22489412_1961-07-02_2012_face1.jpg,0,0,0.9671,0.9671,0.0329
real_images/2234712_1937-09-07_1967_face1.jpg,0,0,0.6715,0.6715,0.3285
real_images/548212_1980-01-19_2012_face1.jpg,0,0,0.6957,0.6957,0.3043
real_images/22141512_1952-08-17_2008_face1.jpg,0,0,0.9316,0.9316,0.0684
real_images/1399112_1957-05-22_2012_face1.jpg,0,0,0.9693,0.9693,0.0307
real_images/19771112_1988-01-01_2014_face1.jpg,0,0,0.9011,0.9011,0.0989
real_images/3189812_1970-04-22_2006_face1.jpg,0,0,0.9799,0.9799,0.0201
real_images/665012_1946-06-18_2014_face1.jpg,0,0,0.986,0.986,0.014
real_images/1545012_1969-08-15_2009_face1.jpg,0,0,0.9672,0.9672,0.0328
real_images/11985612_1967-02-20_2013_face1.jpg,0,0,0.9581,0.9581,0.0419
real_images/26994312_1987-08-31_2010_face1.jpg,0,0,0.7168,0.7168,0.2832
real_images/14264612_1955-07-06_2007_face1.jpg,0,0,0.9197,0.9197,0.0803
real_images/28173912_1984-09-29_2012_face1.jpg,0,0,0.9747,0.9747,0.0253
